,s,E,b,hits,misses,evics,MR%
0,1,2,13,292482.0,36128.0,36124.0,10.99
1,1,4,12,306190.0,22420.0,22412.0,6.82
2,1,8,11,316774.0,11836.0,11820.0,3.6
3,1,16,10,320734.0,7876.0,7844.0,2.4
4,1,32,9,324703.0,3907.0,3843.0,1.19
5,1,64,8,325457.0,3153.0,3025.0,0.96
6,1,128,7,324784.0,3826.0,3570.0,1.16
7,1,256,6,323192.0,5418.0,4906.0,1.65
8,1,512,5,320380.0,8230.0,7206.0,2.5
9,1,1024,4,315311.0,13299.0,11251.0,4.05
10,1,2048,3,306906.0,21704.0,17608.0,6.6
11,2,2,12,303831.0,24779.0,24771.0,7.54
12,2,4,11,315310.0,13300.0,13284.0,4.05
13,2,8,10,320989.0,7621.0,7589.0,2.32
14,2,16,9,324437.0,4173.0,4109.0,1.27
15,2,32,8,325458.0,3152.0,3024.0,0.96
16,2,64,7,324792.0,3818.0,3562.0,1.16
17,2,128,6,323201.0,5409.0,4897.0,1.65
18,2,256,5,320364.0,8246.0,7222.0,2.51
19,2,512,4,315307.0,13303.0,11255.0,4.05
20,2,1024,3,306906.0,21704.0,17608.0,6.6
21,3,2,11,311677.0,16933.0,16917.0,5.15
22,3,4,10,319770.0,8840.0,8808.0,2.69
23,3,8,9,324044.0,4566.0,4502.0,1.39
24,3,16,8,325288.0,3322.0,3194.0,1.01
25,3,32,7,324754.0,3856.0,3600.0,1.17
26,3,64,6,323200.0,5410.0,4898.0,1.65
27,3,128,5,320370.0,8240.0,7216.0,2.51
28,3,256,4,315304.0,13306.0,11258.0,4.05
29,3,512,3,306908.0,21702.0,17606.0,6.6
30,4,2,10,316532.0,12078.0,12046.0,3.68
31,4,4,9,323060.0,5550.0,5486.0,1.69
32,4,8,8,325008.0,3602.0,3474.0,1.1
33,4,16,7,324709.0,3901.0,3645.0,1.19
34,4,32,6,323166.0,5444.0,4932.0,1.66
35,4,64,5,320359.0,8251.0,7227.0,2.51
36,4,128,4,315314.0,13296.0,11248.0,4.05
37,5,2,9,320248.0,8362.0,8298.0,2.54
38,5,4,8,324225.0,4385.0,4257.0,1.33
39,5,8,7,324631.0,3979.0,3723.0,1.21
40,5,16,6,323119.0,5491.0,4979.0,1.67
41,5,32,5,320336.0,8274.0,7250.0,2.52
42,6,2,8,322145.0,6465.0,6337.0,1.97
43,6,4,7,324124.0,4486.0,4230.0,1.37
44,6,8,6,323106.0,5504.0,4992.0,1.67
45,7,2,7,323043.0,5567.0,5311.0,1.69
