,s,E,b,hits,misses,evics,MR%
0,1,2,13,510932.0,83088.0,83084.0,13.99
1,1,4,12,555390.0,38630.0,38622.0,6.5
2,1,8,11,517394.0,76626.0,76610.0,12.9
3,1,16,10,467945.0,126075.0,126043.0,21.22
4,1,32,9,589395.0,4625.0,4561.0,0.78
5,1,64,8,589731.0,4289.0,4161.0,0.72
6,1,128,7,591244.0,2776.0,2520.0,0.47
7,1,256,6,589180.0,4840.0,4328.0,0.81
8,1,512,5,585269.0,8751.0,7727.0,1.47
9,1,1024,4,577797.0,16223.0,14175.0,2.73
10,1,2048,3,567628.0,26392.0,22296.0,4.44
11,2,2,12,541361.0,52659.0,52651.0,8.86
12,2,4,11,517371.0,76649.0,76633.0,12.9
13,2,8,10,467957.0,126063.0,126031.0,21.22
14,2,16,9,589442.0,4578.0,4514.0,0.77
15,2,32,8,590328.0,3692.0,3564.0,0.62
16,2,64,7,591253.0,2767.0,2511.0,0.47
17,2,128,6,589187.0,4833.0,4321.0,0.81
18,2,256,5,585270.0,8750.0,7726.0,1.47
19,2,512,4,577797.0,16223.0,14175.0,2.73
20,2,1024,3,567620.0,26400.0,22304.0,4.44
21,3,2,11,512431.0,81589.0,81573.0,13.74
22,3,4,10,467649.0,126371.0,126339.0,21.27
23,3,8,9,585915.0,8105.0,8041.0,1.36
24,3,16,8,590734.0,3286.0,3158.0,0.55
25,3,32,7,591255.0,2765.0,2509.0,0.47
26,3,64,6,589183.0,4837.0,4325.0,0.81
27,3,128,5,585261.0,8759.0,7735.0,1.47
28,3,256,4,577799.0,16221.0,14173.0,2.73
29,3,512,3,567620.0,26400.0,22304.0,4.44
30,4,2,10,476484.0,117536.0,117504.0,19.79
31,4,4,9,582685.0,11335.0,11271.0,1.91
32,4,8,8,590590.0,3430.0,3302.0,0.58
33,4,16,7,591264.0,2756.0,2500.0,0.46
34,4,32,6,589186.0,4834.0,4322.0,0.81
35,4,64,5,585272.0,8748.0,7724.0,1.47
36,4,128,4,577791.0,16229.0,14181.0,2.73
37,5,2,9,520313.0,73707.0,73643.0,12.41
38,5,4,8,590384.0,3636.0,3508.0,0.61
39,5,8,7,591141.0,2879.0,2623.0,0.48
40,5,16,6,589197.0,4823.0,4311.0,0.81
41,5,32,5,585269.0,8751.0,7727.0,1.47
42,6,2,8,582752.0,11268.0,11140.0,1.9
43,6,4,7,590734.0,3286.0,3030.0,0.55
44,6,8,6,589094.0,4926.0,4414.0,0.83
45,7,2,7,585704.0,8316.0,8060.0,1.4
