,s,E,b,hits,misses,evics,MR%
0,1,2,13,236.0,2.0,0.0,0.84
1,1,4,12,236.0,2.0,0.0,0.84
2,1,8,11,236.0,2.0,0.0,0.84
3,1,16,10,236.0,2.0,0.0,0.84
4,1,32,9,236.0,2.0,0.0,0.84
5,1,64,8,236.0,2.0,0.0,0.84
6,1,128,7,234.0,4.0,0.0,1.68
7,1,256,6,233.0,5.0,0.0,2.1
8,1,512,5,231.0,7.0,0.0,2.94
9,1,1024,4,226.0,12.0,0.0,5.04
10,1,2048,3,215.0,23.0,0.0,9.66
11,2,2,12,236.0,2.0,0.0,0.84
12,2,4,11,236.0,2.0,0.0,0.84
13,2,8,10,236.0,2.0,0.0,0.84
14,2,16,9,236.0,2.0,0.0,0.84
15,2,32,8,236.0,2.0,0.0,0.84
16,2,64,7,234.0,4.0,0.0,1.68
17,2,128,6,233.0,5.0,0.0,2.1
18,2,256,5,231.0,7.0,0.0,2.94
19,2,512,4,226.0,12.0,0.0,5.04
20,2,1024,3,215.0,23.0,0.0,9.66
21,3,2,11,236.0,2.0,0.0,0.84
22,3,4,10,236.0,2.0,0.0,0.84
23,3,8,9,236.0,2.0,0.0,0.84
24,3,16,8,236.0,2.0,0.0,0.84
25,3,32,7,234.0,4.0,0.0,1.68
26,3,64,6,233.0,5.0,0.0,2.1
27,3,128,5,231.0,7.0,0.0,2.94
28,3,256,4,226.0,12.0,0.0,5.04
29,3,512,3,215.0,23.0,0.0,9.66
30,4,2,10,236.0,2.0,0.0,0.84
31,4,4,9,236.0,2.0,0.0,0.84
32,4,8,8,236.0,2.0,0.0,0.84
33,4,16,7,234.0,4.0,0.0,1.68
34,4,32,6,233.0,5.0,0.0,2.1
35,4,64,5,231.0,7.0,0.0,2.94
36,4,128,4,226.0,12.0,0.0,5.04
37,5,2,9,236.0,2.0,0.0,0.84
38,5,4,8,236.0,2.0,0.0,0.84
39,5,8,7,234.0,4.0,0.0,1.68
40,5,16,6,233.0,5.0,0.0,2.1
41,5,32,5,231.0,7.0,0.0,2.94
42,6,2,8,236.0,2.0,0.0,0.84
43,6,4,7,234.0,4.0,0.0,1.68
44,6,8,6,233.0,5.0,0.0,2.1
45,7,2,7,234.0,4.0,0.0,1.68
