,s,E,b,hits,misses,evics,MR%
0,1,2,13,16.0,1.0,0.0,5.88
1,1,4,12,16.0,1.0,0.0,5.88
2,1,8,11,16.0,1.0,0.0,5.88
3,1,16,10,16.0,1.0,0.0,5.88
4,1,32,9,16.0,1.0,0.0,5.88
5,1,64,8,16.0,1.0,0.0,5.88
6,1,128,7,16.0,1.0,0.0,5.88
7,1,256,6,16.0,1.0,0.0,5.88
8,1,512,5,16.0,1.0,0.0,5.88
9,1,1024,4,16.0,1.0,0.0,5.88
10,1,2048,3,15.0,2.0,0.0,11.76
11,2,2,12,16.0,1.0,0.0,5.88
12,2,4,11,16.0,1.0,0.0,5.88
13,2,8,10,16.0,1.0,0.0,5.88
14,2,16,9,16.0,1.0,0.0,5.88
15,2,32,8,16.0,1.0,0.0,5.88
16,2,64,7,16.0,1.0,0.0,5.88
17,2,128,6,16.0,1.0,0.0,5.88
18,2,256,5,16.0,1.0,0.0,5.88
19,2,512,4,16.0,1.0,0.0,5.88
20,2,1024,3,15.0,2.0,0.0,11.76
21,3,2,11,16.0,1.0,0.0,5.88
22,3,4,10,16.0,1.0,0.0,5.88
23,3,8,9,16.0,1.0,0.0,5.88
24,3,16,8,16.0,1.0,0.0,5.88
25,3,32,7,16.0,1.0,0.0,5.88
26,3,64,6,16.0,1.0,0.0,5.88
27,3,128,5,16.0,1.0,0.0,5.88
28,3,256,4,16.0,1.0,0.0,5.88
29,3,512,3,15.0,2.0,0.0,11.76
30,4,2,10,16.0,1.0,0.0,5.88
31,4,4,9,16.0,1.0,0.0,5.88
32,4,8,8,16.0,1.0,0.0,5.88
33,4,16,7,16.0,1.0,0.0,5.88
34,4,32,6,16.0,1.0,0.0,5.88
35,4,64,5,16.0,1.0,0.0,5.88
36,4,128,4,16.0,1.0,0.0,5.88
37,5,2,9,16.0,1.0,0.0,5.88
38,5,4,8,16.0,1.0,0.0,5.88
39,5,8,7,16.0,1.0,0.0,5.88
40,5,16,6,16.0,1.0,0.0,5.88
41,5,32,5,16.0,1.0,0.0,5.88
42,6,2,8,16.0,1.0,0.0,5.88
43,6,4,7,16.0,1.0,0.0,5.88
44,6,8,6,16.0,1.0,0.0,5.88
45,7,2,7,16.0,1.0,0.0,5.88
